Gedde Watanabe
Sarah Michelle Gellar
Anthony George
Gladys George
Carmelita Geraghty
Richard Gere
Greg Germann
Donal Gibson
Debbie Gibson
Helen Gibson
Henry Gibson
Hoot Gibson
Thomas Gibson
Ivelín Giro
Dorothy Gish
David Giuntoli
Robin Givens
Jackie Gleason
Paul Gleason
David Glen Eisley
Glenda Farrell
Walton Goggins
Tracey Gold
Adam Goldberg
Pedro González González
Rick Gonzalez
Cuba Gooding, Jr.
John Goodman
Gale Gordon
Ruth Gordon
George O. Gore II
Christopher Gorham
Betty Grable
Grace Park
Todd Graff
Katerina Graham
Spencer Grammer
Faye Grant
Allie Grant
Lee Grant
Macy Gray
Billy Green Bush
Brian Austin Green
Tom Greenway
Charlotte Greenwood
Winifred Greenwood
Greg Scarnici
Gregg Binkley
Virginia Gregg
Greta Thyssen
Joel Gretsch
Gloria Grey
Lita Grey
Richard Grieco
Pam Grier
Merv Griffin
Corinne Griffith
Melanie Griffith
Christopher Guest
Paul Guilfoyle
Dorothy Gulliver
Moses Gunn
Sean Gunn
Steve Guttenberg
Fred Gwynne
Penne Hackforth-Jones
Sarah Hagan
Leisha Hailey
William Haines
Alan Hale, Jr.
Alan Hale, Sr.
Jerry Haleva
Jack Haley
Alexander Hall
Anthony Michael Hall
Arsenio Hall
Stuart Hamblen
Veronica Hamel
Linda Hamilton
Lisa Gay Hamilton
Antony Hamilton
Elaine Hammerstein
Hope Hampton
Chelsea Handler
Gunnar Hansen
Ryan Hansen
Brooke Harman
Laura Harring
Arlene Harris
Ed Harris
Jonathan Harris
Phil Harris
Randy Harrison
Robert Harron
Mamrie Hart
William S. Hart
David Hasselhoff
June Haver
John Hawkes
Mary Elise Hayden
Pamela Hayden
Russell Hayden
Billy Hayes
Ron Hayes
Haylie Johnson
David Hayter
Anthony Stewart Head
Ted Healy
Alexandra Hedison
Mariel Hemingway
Heather Hemmens
Joseph Henabery
Marilu Henner
David Henrie
Lance Henriksen
Emmaline Henry
Justin Henry
Pepe Hern
